Product_Name,Category,Current_Zone
Corn Flakes 500g,Cereal,J4
Amul Milk 1L Pouch,Milk,I4
Dove Shampoo 180ml,Shampoo,C6
Pantene Conditioner 180ml,Conditioner,D5
Lays Chips Family,Chips,F9
Pepsi 1.5L,Cold Drinks,H1
Close-up Toothpaste Gel,Toothpaste,H9
Oral-B Toothbrush,Toothbrush,H4
Bread Loaf Brown,Bread,D6
Amul Butter 500g,Butter/Jam,C4
KitKat Chocolate Bar,Chocolates,E8
Barbie Doll,Gifting Items,G5
Maggi Noodles 6-Pack,Maggi,J5
Tomato Ketchup 500g,Tomato Ketchup,F8
Sunfeast Yippee Noodles,Pasta,F6
Pasta Sauce 500g,Pasta Sauce,F7
